3600963,UNIVERSITY PREP CHARTER HIGH SCHOOL,113,Yes
3408220,Lakewood Township School District,252,Yes
3622740,PENN YAN CENTRAL SCHOOL DISTRICT,66,Yes
1305130,Trion City,117,No
4809300,BALLINGER ISD,14,Yes
3177180,SOUTHERN SCHOOL DIST 1,32,No
3409090,Lower Cape May Regional School District,208,Yes
3402670,Camden County Technical School District,505,Yes
3904734,Forest Hills Local,427,No
1915330,Jesup Comm School District,54,Yes
2314767,RSU 74/MSAD 74,27,Yes
2011640,Shawnee Mission Pub Sch,857,Yes
4204080,Brownsville Area SD,46,Yes
0507380,HARRISON SCHOOL DISTRICT,137,Yes
1802610,Decatur County Community Schools,218,Yes
2100240,Barbourville Independent,65,Yes
4103840,Culver SD 4,50,No
3621330,NORWICH CITY SCHOOL DISTRICT,103,Yes
1800014,Irvington Community School,74,Yes
0615270,Glendora Unified,18,Yes
0400389,Kaizen Education Foundation dba Maya High School,146,No
3412960,Phillipsburg School District,379,Yes
3901378,Everest High School,8,Yes
4702970,Milan,51,No
4107740,Marcola SD 79J,10,No
3600013,ONEIDA CITY SCHOOL DISTRICT,76,Yes
4019080,MARLOW,52,Yes
3500001,VAUGHN MUNICIPAL SCHOOLS,11,Yes
1500030,Hawaii Department of Education,6722,No
4703480,Putnam County,915,No
2700140,HIGHER GROUND ACADEMY,55,Yes
3417100,Robbinsville Public Schools,36,Yes
2509870,Quincy,685,No
4209270,Ephrata Area SD,214,No
4225740,West Perry SD,200,Yes
0624500,Milpitas Unified,49,Yes
2920820,MIAMI R-I SCHOOL DISTRICT,17,Yes
5507590,Ladysmith School District,74,Yes
4600003,Wilmot School District 54-7,20,Yes
4217670,Northern Lehigh SD,78,Yes
0500049,DEQUEEN SCHOOL DISTRICT,173,Yes
3410440,MONMOUTH REGIONAL HIGH SCHOOL DISTRICT,210,Yes
3703120,Mooresville Graded School District,452,No
4029610,TECUMSEH,100,Yes
1910110,East Buchanan Comm School District,43,No
0608370,Chico Unified,814,No
2607800,Capac Community Schools,104,No
2633120,Summerfield Schools,53,Yes
3623460,PORT CHESTER-RYE UNION FREE SCHOOL DISTRICT,200,Yes
5102120,KING WILLIAM CO PBLC SCHS,151,No
3904439,Miamisburg City,393,No
1921000,North Tama County Comm School District,32,No
3614280,HERRICKS UNION FREE SCHOOL DISTRICT,298,No
2802160,JACKSON CO SCHOOL DIST,630,No
0400746,Eduprize Schools  LLC,33,No
1809810,Salem Community Schools,108,Yes
3701140,Davidson County Schools,773,Yes
5100240,APPOMATTOX CO PBLC SCHS,86,No
1916620,Lenox Comm School District,36,Yes
3628890,TRI-VALLEY CENTRAL SCHOOL DISTRICT,55,No
4104500,Eagle Point SD 9,242,No
2302820,Bangor Public Schools,183,Yes
4102040,Bethel SD 52,367,No
4000020,FRONTIER,29,No
1800210,Attica Consolidated School Corp,60,Yes
3900286,Cleveland Academy for Scholarship Technology and Leadership,35,Yes
2104050,Meade County,406,Yes
2500518,Pioneer Charter School of Science (District),57,Yes
3616200,KENDALL CENTRAL SCHOOL DISTRICT,57,Yes
4016170,KELLYVILLE,58,Yes
1811910,Union-North United School Corp,87,Yes
2000015,Ottawa,174,Yes
3018900,Moore H S,5,Yes
3409990,Metuchen Public School District,176,Yes
0403500,Globe Unified District,93,No
0200540,Nenana City School District,43,Yes
1800183,Purdue Polytechnic High School Ind,8,Yes
1802850,East Allen County Schools,343,No
4023800,PERKINS-TRYON,109,No
