2612300,Dundee Community Schools,1622,4,Yes
3176590,SHELBY - RISING CITY PUBLIC SCHOOLS,203,2,No
3100071,TEKAMAH-HERMAN COMMUNITY SCHS,260,1,Yes
4900870,Salt Lake City School District,9218,19,Yes
4209960,Fort Cherry SD,1064,2,Yes
3800038,DICKINSON 1,1899,4,Yes
2311220,RSU 30/MSAD 30,73,2,Yes
2602520,Allen Park Public Schools,2863,4,No
2103030,Jessamine County,8342,12,Yes
3100021,WAVERLY SCHOOL DISTRICT 145,647,2,Yes
2905640,CRAWFORD CO. R-I,894,3,Yes
5517070,Wisconsin Rapids School District,4037,9,No
1302130,Fayette County,26,1,NA
4900192,Treeside Charter School,433,1,Yes
0615000,General Shafter Elementary,147,1,Yes
2715510,ISLE PUBLIC SCHOOL DISTRICT,76,1,NA
2626280,Okemos Public Schools,1349,3,Yes
0404060,Kayenta Unified School District #27,1832,3,No
3905018,Lakeview Local,1068,2,Yes
3417070,Washington Township School District,3397,7,Yes
3904414,Ironton City,1395,3,Yes
3609090,JAMESVILLE-DEWITT CENTRAL SCHOOL DISTRICT,636,2,Yes
2718810,MAPLE LAKE PUBLIC SCHOOL DISTRICT,837,2,Yes
0613500,Fallbrook Union Elementary,39,1,No
0605820,Brawley Union High School District,1859,3,Yes
2507050,Ludlow,1123,3,Yes
1800960,Brown County Schools,1991,6,Yes
5100210,AMHERST CO PBLC SCHS,1640,5,Yes
2306510,Hermon Public Schools,1257,3,Yes
3500270,CAPITAN MUNICIPAL SCHOOLS,507,3,Yes
4702670,Marshall County,2123,3,No
4027640,SILO,495,1,Yes
2607410,Burr Oak Community School District,324,3,Yes
1719320,Hinsdale Twp HSD 86,2788,1,No
5401470,UPSHUR COUNTY SCHOOLS,1916,2,No
3818660,UNDERWOOD 8,230,2,Yes
1913290,Grundy Center Comm School District,198,1,No
4500960,Bamberg 02,164,1,No
3900575,Mt. Healthy Preparatory and Fitness Academy,259,1,Yes
0400826,Lifelong Learning Research Institute Inc. 2,32,1,No
3302760,Dunbarton School District,249,1,Yes
3105160,CLARKSON PUBLIC SCHOOLS,198,1,Yes
2200260,Baton Rouge University Preparatory Elementary,276,1,Yes
5517190,Wrightstown Community School District,484,1,No
3601082,MIDDLE VILLAGE PREPARATORY CHARTER SCHOOL,375,1,Yes
2200810,Jefferson Davis Parish,5963,13,Yes
4100019,Harrisburg SD 7J,472,2,No
3410200,Millburn Township School District,3082,5,No
3300003,John Stark Regional School District,668,1,Yes
4280090,Bucks County Technical High School,1373,1,No
4828200,LORENA ISD,812,2,Yes
2702930,ALBANY PUBLIC SCHOOL DISTRICT,1754,4,Yes
0802880,Cheraw School District No. 31 in the county of Otero and S,207,1,Yes
5400030,BARBOUR COUNTY SCHOOLS,1139,4,Yes
3614220,HERKIMER CENTRAL SCHOOL DISTRICT,464,1,No
0101200,Demopolis City,1595,3,Yes
1742720,Winfield SD 34,300,2,Yes
2625980,Northville Public Schools,1206,2,Yes
2718270,LITTLEFORK-BIG FALLS SCHOOL DIST.,380,2,Yes
2906000,LINN CO. R-I,201,2,Yes
0611850,East Whittier City Elementary,4240,6,No
0500055,BENTON COUNTY SCHOOL OF ARTS,562,1,Yes
3303330,Governor Wentworth Reg School District,744,4,No
5604510,Natrona County School District #1,10424,22,No
1707770,Bunker Hill CUSD 8,601,2,Yes
0400031,Ridgeline Academy  Inc.,563,1,No
2300009,Long Island Public Schools,17,1,No
2804230,TATE CO SCHOOL DIST,2410,5,Yes
3610590,ELMIRA HEIGHTS CENTRAL SCHOOL DISTRICT,327,1,No
5514850,Three Lakes School District,519,4,Yes
4111970,Sweet Home SD 55,1324,4,No
3600021,MATTITUCK-CUTCHOGUE UNION FREE SCHOOL DISTRICT,637,1,No
4813170,CASTLEBERRY ISD,3912,7,Yes
3904820,Anthony Wayne Local,2090,2,No
5515990,Wauwatosa School District,3268,7,Yes
4215830,Moon Area SD,3099,5,No
4838360,RUSK ISD,2132,5,Yes
4837800,ROOSEVELT ISD,1095,3,Yes
0600043,Scotts Valley Unified,799,1,No
0506540,GENTRY SCHOOL DISTRICT,1463,4,Yes
1303870,Muscogee County,21416,40,Yes
5401440,TYLER COUNTY SCHOOLS,655,2,No
3002550,Avon Elem,16,1,Yes
3904566,Windham Exempted Village,544,3,Yes
4843650,UNITED ISD,38,1,No
4827690,LITTLE CYPRESS-MAURICEVILLE CISD,1771,3,No
3700020,Chatham Charter,556,1,No
3901405,Near West Intergenerational School,237,1,Yes
3600963,UNIVERSITY PREP CHARTER HIGH SCHOOL,433,1,Yes
3011650,Fromberg K-12,117,3,Yes
2509180,Orange,653,2,Yes
3904453,North Ridgeville City,1954,2,No
2314831,Acadia Academy,172,1,Yes
3408220,Lakewood Township School District,5472,7,Yes
2101200,Clark County,321,2,No
1908220,Council Bluffs Comm School District,571,1,No
2600149,Walker Charter Academy,738,1,Yes
3622740,PENN YAN CENTRAL SCHOOL DISTRICT,1349,3,Yes
1305130,Trion City,705,2,No
4809300,BALLINGER ISD,896,3,Yes
3500155,LA TIERRA MONTESSORI SCHOOL OF THE ARTS AND SCIENCES,102,1,Yes
3177180,SOUTHERN SCHOOL DIST 1,180,1,No
3409090,Lower Cape May Regional School District,1401,2,Yes
3402670,Camden County Technical School District,2096,2,Yes
1716800,Glen Ellyn SD 41,1821,2,Yes
0807080,Huerfano School District Re-1,394,2,Yes
4800237,GOLDEN RULE CHARTER SCHOOL,1442,6,Yes
3904734,Forest Hills Local,4916,5,No
3900105,Constellation Schools: Westpark Community Elementary,305,1,Yes
3102770,ADAMS CENTRAL PUBLIC SCHOOLS,146,1,Yes
1915330,Jesup Comm School District,975,4,Yes
2314767,RSU 74/MSAD 74,639,4,Yes
2011640,Shawnee Mission Pub Sch,14100,24,Yes
4204080,Brownsville Area SD,1572,3,Yes
0507380,HARRISON SCHOOL DISTRICT,2637,6,Yes
3601030,HYDE LEADERSHIP CHARTER SCHOOL - BROOKLYN,357,1,Yes
3416020,Tabernacle Township School District,692,2,Yes
1802610,Decatur County Community Schools,1977,4,Yes
2100240,Barbourville Independent,682,1,Yes
4500930,Bamberg 01,746,1,Yes
4103840,Culver SD 4,199,1,No
3621330,NORWICH CITY SCHOOL DISTRICT,1833,4,Yes
1800014,Irvington Community School,1004,1,Yes
